,station_id,tile_ID,geometry,start_frequency,return_frequency,GEOID,AREALAND
0,SF-N23,0,POINT (-122.4155145982936 37.76374969108682),483,523,06075017700,904078
1,SF-H30,1,POINT (-122.3879459085228 37.78297245382424),635,559,06075061508,227943
2,OK-I4,2,POINT (-122.2717615 37.81701539999999),19,20,06001401400,754768
3,OK-D3-1,3,POINT (-122.2644881 37.84036429999999),100,86,06001400600,297856
4,SF-I30,4,POINT (-122.3903237474495 37.78051879624513),943,939,06075060701,1292507
5,SF-G6,5,POINT (-122.4878193920597 37.77967693632075),113,99,06075047701,364728
6,SF-K27-2,6,POINT (-122.4036008851559 37.77270540680437),832,814,06075018000,933506
7,SF-M21,7,POINT (-122.4266488899283 37.76612605167198),652,604,06075020300,286010
8,SF-J29,8,POINT (-122.3953159907172 37.77663371853443),1292,1385,06075060703,346694
9,SF-E20,9,POINT (-122.4325583095092 37.79062905077848),405,347,06075013500,235184
10,SF-P22,10,POINT (-122.4210543304404 37.75673692175235),920,889,06075020801,207712
11,OK-H9-2,11,POINT (-122.2432677044335 37.81108070443349),99,104,06001403800,652668
12,SF-S22-2,12,POINT (-122.4222217819187 37.74583007424818),144,149,06075025300,403918
13,SF-C28-1,13,POINT (-122.3985192401079 37.79993274040768),277,279,06075010500,683605
14,SF-N20-1,14,POINT (-122.4318809282645 37.76430060487603),616,594,06075020300,286010
15,SF-L29,15,POINT (-122.3929182403505 37.77239616141712),598,603,06075060701,1292507
16,SF-G23,16,POINT (-122.4193946834789 37.78545294979621),573,572,06075012202,94685
17,OK-N6,17,POINT (-122.2739696669755 37.79519477564139),149,165,06001983200,494542
18,SF-G13,18,POINT (-122.4587411092574 37.78156085289642),262,279,06075015401,392339
19,SF-M22-2,19,POINT (-122.4219262698044 37.76539578231458),1014,1031,06075020102,140244
20,SF-J27,20,POINT (-122.4026973377679 37.77584728136905),300,260,06075018000,933506
21,SF-Q22-2,21,POINT (-122.4206670586538 37.75245814482809),575,569,06075020900,312680
22,SF-T22,22,POINT (-122.4215720938317 37.74409265889008),453,490,06075025300,403918
23,SJ-M10-1,23,POINT (-121.8870220124555 37.33739679418742),145,136,06085500901,720807
24,SF-F29,24,POINT (-122.3939075362902 37.7903051189681),665,706,06075061507,336738
25,SF-O30-2,25,POINT (-122.3875100529636 37.76041581824725),558,623,06075022600,1334366
26,SJ-M8-2,26,POINT (-121.8976786666667 37.33023320238095),13,15,06085500800,1723696
27,SF-G30-1,27,POINT (-122.3919120450718 37.78801184366031),718,699,06075061506,112895
28,SF-N22-1B,28,POINT (-122.4201394364476 37.76487307953457),453,521,06075020102,140244
29,SF-R19,29,POINT (-122.4337893229197 37.75057962543985),382,319,06075021400,354535
30,BK-C7,30,POINT (-122.2684872150421 37.87367621459826),229,204,06001422400,475566
31,SF-F23,31,POINT (-122.4205160460864 37.78864049566721),1065,1067,06075012001,62922
32,OK-I8,32,POINT (-122.2564601835313 37.80889393617392),234,249,06001403401,549686
33,SF-M24,33,POINT (-122.4154411047945 37.7670530349315),440,436,06075017700,904078
34,BK-F9,34,POINT (-122.258801 37.86231990025706),222,167,06001423602,404545
35,SJ-Q5,35,POINT (-121.8963149799649 37.31127392776448),17,14,06085501800,1428662
36,SF-N28,36,POINT (-122.3990271825311 37.76501583142151),1100,1123,06075060702,548503
37,SF-H26,37,POINT (-122.4084204010641 37.78385526857184),1437,1537,06075012503,108926
38,OK-H9-1,38,POINT (-122.2472151993865 37.81274409969324),137,189,06001403800,652668
39,BK-H8,39,POINT (-122.2635653614998 37.85557366182879),86,71,06001423901,394491
40,SF-J23-1,40,POINT (-122.4173780848295 37.77670958323858),2127,2095,06075017603,248651
41,OK-C4,41,POINT (-122.258732 37.83880000000002),62,56,06001400300,1110840
42,SJ-P10,42,POINT (-121.8771201809524 37.3259562204762),37,33,06085501601,781837
43,SF-Q21-1,43,POINT (-122.4257897344633 37.75502529550283),309,281,06075021100,424228
44,SJ-H12,44,POINT (-121.892102226669 37.35546170428071),198,157,06085500100,1922120
45,SJ-H10,45,POINT (-121.902046637963 37.3509264),57,51,06085500200,1680335
46,SF-L21,46,POINT (-122.4269081271596 37.76927680527457),1038,1038,06075016900,294789
47,SF-Z6,47,POINT (-122.4827723983194 37.72203388767507),52,67,06075033204,387903
48,OK-I6,48,POINT (-122.2607785463333 37.81231409135146),116,130,06001403701,173947
49,SF-Q23-3,49,POINT (-122.4199564857206 37.75211485519763),505,566,06075020900,312680
50,SF-I29-2,50,POINT (-122.394925670256 37.78080655780622),322,342,06075061502,215314
51,SF-N24-2,51,POINT (-122.4130322838631 37.76379844150916),586,578,06075022801,578057
52,BK-E9-2,52,POINT (-122.258804395 37.86604309875),248,232,06001422800,408571
53,BK-D7-2,53,POINT (-122.270556 37.86905990234605),163,178,06001422902,385452
54,OK-B3,54,POINT (-122.261351 37.8444927),48,44,06001400400,716138
